energy,yp,yenp,source
1.00E-03,1.57E+03,1.57E+03,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z14.html
1.50E-03,5.36E+02,5.33E+02,
1.84E-03,3.09E+02,3.07E+02,
1.84E-03,3.19E+03,3.06E+03,
2.00E-03,2.78E+03,2.67E+03,
3.00E-03,9.78E+02,9.52E+02,
4.00E-03,4.53E+02,4.43E+02,
5.00E-03,2.45E+02,2.40E+02,
6.00E-03,1.47E+02,1.44E+02,
8.00E-03,6.47E+01,6.31E+01,
1.00E-02,3.39E+01,3.29E+01,
1.50E-02,1.03E+01,9.79E+00,
2.00E-02,4.46E+00,4.08E+00,
3.00E-02,1.44E+00,1.16E+00,
4.00E-02,7.01E-01,4.78E-01,
5.00E-02,4.39E-01,2.43E-01,
6.00E-02,3.21E-01,1.43E-01,
8.00E-02,2.23E-01,6.90E-02,
1.00E-01,1.84E-01,4.51E-02,
1.50E-01,1.45E-01,3.09E-02,
2.00E-01,1.28E-01,2.91E-02,
3.00E-01,1.08E-01,2.93E-02,
4.00E-01,9.61E-02,2.97E-02,
5.00E-01,8.75E-02,2.97E-02,
6.00E-01,8.08E-02,2.95E-02,
8.00E-01,7.08E-02,2.88E-02,
1.00E+00,6.36E-02,2.78E-02,
1.25E+00,5.69E-02,2.65E-02,
1.50E+00,5.18E-02,2.54E-02,
2.00E+00,4.48E-02,2.35E-02,
3.00E+00,3.68E-02,2.10E-02,
4.00E+00,3.24E-02,1.96E-02,
5.00E+00,2.97E-02,1.88E-02,
6.00E+00,2.79E-02,1.83E-02,
8.00E+00,2.57E-02,1.77E-02,
1.00E+01,2.46E-02,1.75E-02,
1.50E+01,2.35E-02,1.75E-02,
2.00E+01,2.34E-02,1.76E-02,
