energy,yp,yenp,Source: https://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/air.html
0.001,3610,3600,
0.0015,1190,1190,
0.002,528,526,
0.003,163,161,
0.0032,134,133,
0.0032,149,146,
0.004,77.9,76.4,
0.005,40.3,39.3,
0.006,23.4,22.7,
0.008,9.92,9.45,
0.01,5.12,4.74,
0.015,1.61,1.33,
0.02,0.778,0.539,
0.03,0.354,0.154,
0.04,0.249,0.0683,
0.05,0.208,0.041,
0.06,0.188,0.0304,
0.08,0.166,0.0241,
0.1,0.154,0.0233,
0.15,0.136,0.025,
0.2,0.123,0.0267,
0.3,0.107,0.0287,
0.4,0.0955,0.0295,
0.5,0.0871,0.0297,
0.6,0.0806,0.0295,
0.8,0.0707,0.0288,
1,0.0636,0.0279,
1.25,0.0569,0.0267,
1.5,0.0518,0.0255,
2,0.0445,0.0235,
3,0.0358,0.0206,
4,0.0308,0.0187,
5,0.0275,0.0174,
6,0.0252,0.0165,
8,0.0223,0.0153,
10,0.0205,0.0145,
15,0.0181,0.0135,
20,0.0171,0.0131,
