energy,yp,yenp,source: https://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/water.html
0.001,4080,4070,
0.0015,1380,1370,
0.002,617,615,
0.003,193,192,
0.004,82.8,81.9,
0.005,42.6,41.9,
0.006,24.6,24.1,
0.008,10.4,9.92,
0.01,5.33,4.94,
0.015,1.67,1.37,
0.02,0.81,0.55,
0.03,0.376,0.156,
0.04,0.268,0.0695,
0.05,0.227,0.0422,
0.06,0.206,0.0319,
0.08,0.184,0.026,
0.1,0.171,0.0255,
0.15,0.151,0.0276,
0.2,0.137,0.0297,
0.3,0.119,0.0319,
0.4,0.106,0.0328,
0.5,0.0969,0.033,
0.6,0.0896,0.0328,
0.8,0.0787,0.0321,
1,0.0707,0.031,
1.25,0.0632,0.0297,
1.5,0.0575,0.0283,
2,0.0494,0.0261,
3,0.0397,0.0228,
4,0.034,0.0207,
5,0.0303,0.0192,
6,0.0277,0.0181,
8,0.0243,0.0166,
10,0.0222,0.0157,
15,0.0194,0.0144,
20,0.0181,0.0138,
