energy,stop_power,source: https://physics.nist.gov/cgi-bin/Star/edata.pl
1.00E-02,1.68E+01,
1.25E-02,1.42E+01,
1.50E-02,1.24E+01,
1.75E-02,1.11E+01,
2.00E-02,1.00E+01,
2.50E-02,8.46E+00,
3.00E-02,7.39E+00,
3.50E-02,6.60E+00,
4.00E-02,5.99E+00,
4.50E-02,5.50E+00,
5.00E-02,5.11E+00,
5.50E-02,4.77E+00,
6.00E-02,4.50E+00,
7.00E-02,4.05E+00,
8.00E-02,3.71E+00,
9.00E-02,3.44E+00,
1.00E-01,3.22E+00,
1.25E-01,2.82E+00,
1.50E-01,2.54E+00,
1.75E-01,2.35E+00,
2.00E-01,2.20E+00,
2.50E-01,2.00E+00,
3.00E-01,1.87E+00,
3.50E-01,1.77E+00,
4.00E-01,1.71E+00,
4.50E-01,1.66E+00,
5.00E-01,1.62E+00,
5.50E-01,1.59E+00,
6.00E-01,1.57E+00,
7.00E-01,1.54E+00,
8.00E-01,1.52E+00,
9.00E-01,1.51E+00,
1.00E+00,1.51E+00,
1.25E+00,1.51E+00,
1.50E+00,1.52E+00,
1.75E+00,1.53E+00,
2.00E+00,1.55E+00,
2.50E+00,1.58E+00,
3.00E+00,1.61E+00,
3.50E+00,1.64E+00,
4.00E+00,1.67E+00,
4.50E+00,1.69E+00,
5.00E+00,1.72E+00,
5.50E+00,1.74E+00,
6.00E+00,1.76E+00,
7.00E+00,1.81E+00,
8.00E+00,1.85E+00,
9.00E+00,1.89E+00,
1.00E+01,1.93E+00,
1.25E+01,2.02E+00,
1.50E+01,2.12E+00,
1.75E+01,2.21E+00,
2.00E+01,2.30E+00,
2.50E+01,2.48E+00,
3.00E+01,2.66E+00,
3.50E+01,2.83E+00,
4.00E+01,3.01E+00,
4.50E+01,3.18E+00,
5.00E+01,3.36E+00,
5.50E+01,3.53E+00,
6.00E+01,3.71E+00,
7.00E+01,4.06E+00,
8.00E+01,4.40E+00,
9.00E+01,4.75E+00,
1.00E+02,5.10E+00,
1.25E+02,5.97E+00,
1.50E+02,6.85E+00,
1.75E+02,7.72E+00,
2.00E+02,8.60E+00,
2.50E+02,1.04E+01,
3.00E+02,1.21E+01,
3.50E+02,1.39E+01,
4.00E+02,1.56E+01,
4.50E+02,1.74E+01,
5.00E+02,1.92E+01,
5.50E+02,2.09E+01,
6.00E+02,2.27E+01,
7.00E+02,2.63E+01,
8.00E+02,2.98E+01,
9.00E+02,3.33E+01,
1.00E+03,3.69E+01,
